# y+ ()       
# Time        	patch         	min           	max           	average       
0.126875      	WALL	8.220950e-03	1.981153e+01	3.068685e+00
0.1275        	BOTTOM	1.128296e-06	2.913805e+01	3.200672e+00
0.1275        	WALL	8.081364e-03	1.982624e+01	3.070392e+00
0.128125      	BOTTOM	8.796850e-07	2.921532e+01	3.210240e+00
0.128125      	WALL	8.086635e-03	1.986432e+01	3.071167e+00
0.12875       	BOTTOM	3.369269e-07	2.929217e+01	3.219755e+00
0.12875       	WALL	8.259321e-03	1.988780e+01	3.072604e+00
0.129375      	BOTTOM	7.131618e-07	2.936862e+01	3.229270e+00
0.129375      	WALL	8.472296e-03	1.992424e+01	3.073137e+00
0.13          	BOTTOM	3.226623e-07	2.944465e+01	3.238743e+00
0.13          	WALL	8.677207e-03	1.994549e+01	3.071844e+00
0.130631      	BOTTOM	6.895134e-07	2.952030e+01	3.248242e+00
0.130631      	WALL	8.724621e-03	1.998034e+01	3.070966e+00
0.131261      	BOTTOM	3.479895e-07	2.959562e+01	3.257645e+00
